"client_id","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","subscribe"
12048,27,"technician","single","professional.course","no","no","no","cellular","may","tue",1,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,0
40503,53,"technician","married","professional.course","no","no","no","cellular","sep",NA,1,3,1,"success",-3.4,92.379,-29.8,0.77,5017.5,1
34724,47,"services","married","basic.6y","no","yes","no","cellular","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
20477,44,"technician","married","professional.course","no","no","no","cellular","aug","tue",6,999,0,"nonexistent",1.4,93.444,-36.1,NA,5228.1,0
31542,30,"blue-collar","single","high.school","no","yes","no","cellular","aug","thu",7,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,0
37001,28,"services","married","high.school","no","yes","yes","telephone","jul","wed",8,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
21069,24,"student","single","high.school","no","yes","yes","cellular","jul","tue",3,999,1,"failure",-1.7,94.215,-40.3,0.835,4991.6,0
30575,45,"management","married","university.degree","no","yes","no","cellular","aug","fri",4,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,0
33753,50,"technician","single","university.degree","no","yes","no","cellular","jul","tue",4,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
18891,44,"blue-collar","married","basic.6y","unknown","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,0
16579,34,"blue-collar","married","basic.6y","no","yes","yes","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
26801,47,"blue-collar","married","basic.4y","no","no","no","cellular","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,0
25902,48,"admin.","single","university.degree","no","no","no","cellular","jul","tue",4,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
28078,34,"services","single","basic.9y","no","yes","yes","cellular","nov","wed",1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,0
3833,33,"admin.","divorced","university.degree","no","no","no","telephone","jun","fri",3,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,0
26028,58,"admin.","married","university.degree","no","yes","no","cellular","jul","tue",4,999,0,"nonexistent",1.4,NA,-42.7,4.961,5228.1,0
17533,29,"admin.","single","university.degree","no","yes","no","telephone","jul","thu",12,999,0,"nonexistent",NA,93.918,-42.7,4.962,5228.1,0
37783,29,"admin.","single","high.school","no","yes","yes","cellular","jul","wed",4,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
30571,53,"blue-collar","married","basic.4y","unknown","yes","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,0
8986,26,"admin.","single","high.school","no","yes","no","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
6601,47,"admin.","married","high.school","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,0
618,39,"admin.","single","high.school","no","no","no","cellular","jul","mon",7,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
31517,37,"blue-collar","married","basic.9y","no","yes","yes","cellular","apr","fri",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
539,37,"self-employed","single","university.degree","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
32263,33,"blue-collar","divorced","basic.9y","unknown","yes","yes","cellular","jul","wed",3,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,0
3625,58,"retired","married","professional.course","no","yes","no","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
15582,26,"student","single","professional.course","no","no","yes","cellular","may","fri",NA,999,0,"nonexistent",-1.8,92.893,-46.2,1.259,5099.1,1
19392,41,"blue-collar","married","basic.9y","no","yes","yes","cellular","may","wed",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.27,5099.1,0
2211,32,"entrepreneur","married","university.degree","no","no","no","telephone","nov","thu",2,999,0,"nonexistent",-0.1,93.2,-42,NA,5195.8,0
2286,48,"housemaid","divorced","basic.4y","unknown","yes","yes","telephone","may","thu",4,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
18762,51,"blue-collar","married","basic.9y","unknown","yes","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,1
32281,45,"admin.","divorced","high.school","no","yes","no","cellular","nov","fri",NA,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,1
7826,41,"management","married","university.degree","no","yes","no","cellular","may","fri",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,0
14751,31,"admin.","single","basic.9y","no","yes","no","cellular","may","wed",2,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,0
24263,39,"blue-collar",NA,"basic.9y","no","no","no","cellular","apr","thu",1,999,1,"failure",-1.8,93.075,-47.1,1.483,5099.1,0
25449,31,"technician","married","university.degree","no","no","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,0
40849,37,"admin.","married","university.degree","no","yes","no","cellular","jun","fri",1,999,2,"failure",-1.7,94.055,-39.8,0.719,4991.6,0
10687,36,"technician","married","university.degree","no","no","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
12637,33,"blue-collar","married","basic.9y","no","yes","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,1
20193,31,"blue-collar","single","basic.9y","no","yes","no","cellular","may","tue",8,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,0
1165,40,"admin.","married","professional.course","unknown","no","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
31665,43,"entrepreneur","married","basic.4y","no","yes","no","cellular","nov","tue",2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,0
22467,25,"student","single","unknown","unknown","yes","no","cellular","aug","fri",1,999,0,"nonexistent",-2.9,92.201,-31.4,0.825,5076.2,0
18496,42,"technician","married","professional.course","no","no","no","cellular","aug","wed",1,999,1,"failure",-2.9,92.201,-31.4,0.879,5076.2,0
19419,49,"unemployed","divorced","university.degree","no","yes","yes","cellular","jul","fri",5,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,0
15703,59,"admin.",NA,"university.degree","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,0
6623,33,"technician","married","university.degree","no","yes","no","cellular","jul","thu",4,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,0
8983,35,"admin.","married","high.school","no","no","no","cellular","oct","thu",1,4,2,"success",-3.4,92.431,-26.9,0.754,5017.5,0
37769,29,"admin.","married","university.degree","no","yes","no","cellular","aug","mon",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
29479,38,"technician","married","professional.course","no","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
5407,73,"retired","divorced","basic.4y","unknown","yes","no","telephone","aug","mon",1,999,0,"nonexistent",-1.7,94.027,-38.3,0.904,4991.6,0
32634,54,"blue-collar","married","basic.4y","no","no","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
12585,37,"admin.","single","high.school","no","yes","no","telephone","jul","tue",34,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
21085,35,"management","married","university.degree","no","yes","no","cellular","nov","mon",2,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,0
21099,52,"admin.","divorced","high.school","no","yes","yes","cellular","may","mon",1,999,1,"failure",-1.8,92.893,-46.2,1.244,5099.1,0
25442,28,"student","single","basic.9y","no","no","no","telephone","aug","wed",2,NA,2,"success",-1.7,94.027,-38.3,0.9,4991.6,0
36940,45,"admin.","divorced","high.school","no","yes","yes","cellular","aug","wed",3,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,0
40153,65,"management","married","unknown","no","yes","no","telephone","dec","wed",3,999,1,"failure",-3,92.713,-33,0.715,5023.5,1
31919,56,"technician","married","basic.4y","unknown","yes","yes","cellular","jul","wed",6,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
3814,29,"blue-collar","married","basic.9y","no","yes","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,0
8176,52,"retired","divorced","professional.course","no","no","no","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
10833,31,"self-employed","married","university.degree","no","no","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,0
17746,37,"blue-collar","married","basic.6y","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
31,28,NA,"single","university.degree","unknown","no","no","cellular","may","tue",4,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,0
4620,34,"admin.","married","high.school","no","no","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
3247,32,"blue-collar","divorced","basic.9y","unknown","yes","no","telephone","jun","mon",5,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,0
24016,30,"admin.","single","university.degree","no","no","no","telephone","may","mon",6,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,0
33027,44,"services","married","high.school","no","unknown","unknown","telephone","may","fri",4,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
11256,43,"technician","divorced","unknown","no","no","no","telephone","may","wed",9,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
23900,26,"blue-collar","single","high.school","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
2450,32,"blue-collar","married","high.school","unknown","yes","no","telephone","may","wed",7,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
1673,47,"housemaid","married","university.degree","no","no","no","telephone","may","tue",6,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
18144,35,"services","married","high.school","no","yes","no","cellular","apr","fri",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
25243,40,"technician","married","professional.course","no","yes","no","cellular","nov","thu",1,999,1,"failure",-0.1,93.2,-42,4.076,5195.8,0
13431,33,"admin.","single","university.degree","no","no","no","cellular","aug","tue",9,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
34728,34,"technician","single","university.degree","no","yes",NA,"cellular","aug","thu",4,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,0
1060,38,"admin.","single","high.school","no","yes",NA,"cellular","apr","thu",1,6,1,"success",-1.8,93.749,-34.6,0.659,5008.7,1
13179,56,"services","married","high.school","unknown","yes","no","telephone","jul","thu",11,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
1204,29,"unemployed","married","university.degree","no","yes","no","cellular","jul","thu",3,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,0
24111,37,"technician","single","university.degree","no","no","no","cellular","aug","tue",2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
9919,30,"entrepreneur","single","university.degree","no","yes","no","cellular","nov","thu",1,999,1,"failure",-0.1,93.2,-42,4.076,5195.8,1
7880,39,"admin.","single","university.degree","no","yes","no","cellular","aug","mon",3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
2096,28,"admin.","single","high.school","no","no","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
20873,57,"management","divorced","university.degree","unknown","yes","yes","telephone","jun","tue",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
24522,33,"services","divorced","high.school","no","yes","no","telephone","may",NA,1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
24696,45,NA,"married","high.school","no","yes","no","telephone","may","tue",5,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
19955,36,"admin.","married","university.degree","no","yes",NA,"cellular","aug","thu",2,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,0
14417,38,"technician","single","professional.course","no","no","no","telephone","jun","thu",4,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
5596,36,"blue-collar","married","professional.course","unknown","yes","yes","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
40276,59,"admin.","married","university.degree","no","yes","yes","cellular","jul","wed",1,999,0,"nonexistent",-2.9,92.469,-33.6,1.085,5076.2,0
37167,46,"admin.","married","high.school","no","yes","no","cellular","jul","tue",1,999,0,"nonexistent",-1.7,94.215,-40.3,0.797,4991.6,1
3696,26,"services","single",NA,"no","no","no","cellular","may","wed",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.27,5099.1,0
22974,27,"technician","single","professional.course","no","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
10301,49,"services","married","high.school","unknown","yes","no","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,0
11372,31,"blue-collar","married","high.school","no","no","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,0
34165,41,"services","married","high.school","no","no","no","cellular","apr","mon",2,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,0
18547,28,"blue-collar","single","basic.9y","unknown","no","yes","cellular","jul","wed",2,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,0
38488,60,"admin.","married","university.degree","no","no","no","telephone","jun","wed",3,999,NA,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,1
29370,55,"admin.","married","high.school","unknown","no","no","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,0
9182,29,"admin.","single","high.school","no","yes","no","cellular","jun","mon",1,3,1,"success",-2.9,92.963,-40.8,1.26,5076.2,1
23316,40,"blue-collar","divorced","basic.9y","no","no","no","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,0
17049,59,"retired","divorced","basic.4y","no","yes","no","telephone","may","wed",3,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
28112,61,"technician","married","professional.course","no","no","no","cellular",NA,"thu",2,999,1,"failure",-3.4,92.431,-26.9,0.722,5017.5,1
25196,31,"technician","single","professional.course","no","no","no","cellular","aug","thu",3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
242,34,"management","single","university.degree","no","no","yes","cellular","may","fri",4,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,1
7071,51,"admin.","married","high.school","no","yes","no","cellular","nov","fri",7,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,0
1498,30,"blue-collar","single","professional.course","no","no","no","cellular","may","tue",1,999,1,"failure",-1.8,93.876,-40,0.668,5008.7,0
9723,50,"blue-collar","married","basic.4y","unknown","no","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
39149,29,"services","married","basic.9y","no","yes","no","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
34599,45,"blue-collar","married","basic.9y","no","no","no","telephone","jun","wed",13,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,0
16346,41,"services","married","high.school","no","no","yes","telephone","may","thu",4,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,0
4695,34,"blue-collar","married","basic.9y","no","no","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,1
32102,81,"retired","divorced","basic.4y","no","yes","no","cellular","dec","fri",3,999,0,"nonexistent",-3,92.713,-33,0.714,5023.5,1
13353,46,"blue-collar","married","unknown","no","yes","no","telephone","jul","fri",1,999,NA,"nonexistent",1.4,93.918,-42.7,4.959,5228.1,0
15489,25,"technician","single","professional.course","no","yes","no","cellular","jun","mon",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,0
31606,57,"blue-collar","married","high.school","no","yes","no","cellular","apr","tue",3,999,0,"nonexistent",-1.8,93.075,-47.1,1.453,5099.1,0
27020,58,"admin.","married","high.school","no","yes","no","cellular","jul","tue",6,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,0
16436,57,"blue-collar","married","unknown","no","yes","no","cellular","jul","thu",5,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
26691,40,"entrepreneur","married","university.degree","unknown","unknown","unknown","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
30237,30,"technician","single","university.degree","no","no","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,0
35556,35,"technician","single","high.school","no","no","no","cellular","nov","wed",5,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,0
32076,35,"blue-collar","married","high.school","no","no","no","telephone","jun","mon",1,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,0
26715,36,"admin.","married","university.degree","no","yes","no","cellular","aug","mon",2,NA,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
18388,50,"blue-collar","married","basic.4y","no","no","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
16990,49,"blue-collar","married","basic.6y","no","no","no","cellular","aug","mon",6,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
23977,32,"technician","single","high.school","no","no","no","telephone","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,0
9123,44,"services","married","high.school","unknown","no","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,0
8263,31,"admin.","single","university.degree","no","yes","no","cellular","aug","thu",11,999,0,"nonexistent",1.4,93.444,-36.1,NA,5228.1,0
36810,33,"management","married","high.school","no","yes","no","cellular","jul","wed",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
20400,55,"management","divorced","university.degree","no","no","no","cellular","nov","thu",2,999,1,"failure",-0.1,93.2,-42,4.076,5195.8,0
37492,56,NA,"single","basic.4y","unknown","yes","no","cellular","may","mon",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,0
6373,39,"blue-collar","single","basic.9y","unknown","yes","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,0
7860,32,"admin.","single","university.degree","no","yes","no","cellular","aug","tue",3,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,1
602,32,"admin.","single","high.school","no","no","no","cellular","may","fri",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,0
8523,40,"management","married","high.school","unknown","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,0
7877,45,"blue-collar","married","basic.4y","no","no","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,NA,0
7488,32,"admin.","married","university.degree","no","no","yes","cellular","jul","wed",8,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
35916,36,"entrepreneur","married","basic.9y","no","yes","no","cellular","apr","fri",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
34564,35,"technician","married","professional.course","no","no","no","cellular","jul","wed",8,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
9739,59,"retired","married","basic.9y","no","yes","yes","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,0
19512,48,"admin.","married","high.school","no","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
14607,NA,"technician","married","professional.course","no","no","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
35817,42,"blue-collar","married","basic.4y","unknown","no","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,0
24963,40,"admin.","married","university.degree","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,0
35560,64,"retired","married","university.degree","no","no","no","cellular","apr","tue",4,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,1
38245,42,"blue-collar","married","high.school","unknown","yes","no","telephone","jun","tue",2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,0
33510,25,"admin.","single","high.school","no","yes","no","cellular","jul","thu",4,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
4682,37,"blue-collar","married","basic.4y","no","no","no","telephone","may","fri",17,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,0
3421,58,"entrepreneur","married","basic.4y","no","yes","no","telephone","may","mon",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
37765,77,"retired","divorced","professional.course","no","no","no","cellular","aug","mon",1,999,0,"nonexistent",-1.7,94.027,-38.3,0.898,4991.6,0
34827,43,"admin.","married","high.school","no","no","no","cellular","may","fri",4,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,1
20943,50,"services","married","basic.6y","no","yes","no","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,0
36352,55,"admin.","married","university.degree","unknown","no","yes","cellular","aug","thu",2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,0
10400,28,"blue-collar","married","basic.9y","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,0
